114.95049	9.29191
115.6975	8.78849
114.42757	8.72584
113.81353	8.54323
113.45865	8.39378
128.29645	9.6002
128.00395	9.42008
127.12963	9.18793
128.21631	9.00888
132.84615	8.95421
125.94865	8.57886
124.5634	8.84733
125.46354	8.81194
125.28218	8.87353
120.14892	9.15441
119.53697	9.20629
121.62964	9.32231
121.27013	9.18383
122.62283	9.15785
116.84428	8.81828
117.62896	8.71284
116.15184	8.17197
117.9374	8.1988
114.37593	8.3182
115.2311	7.94874
123.63166	7.99665
123.96124	8.03402
124.76251	7.96343
125.02241	7.63605
122.29346	7.32939
118.14804	7.49787
119.47355	7.46254
119.14885	7.30191
115.85082	7.25022
115.66397	7.47637
115.1574	7.7068
117.07993	7.82522
108.99737	8.85604
109.09884	8.51103
111.21156	8.48829
105.717	7.65083
102.60786	8.20787
103.78036	7.07547
112.54048	7.2893
109.94864	7.89748
110.23195	7.66516
109.94708	6.89698
110.23016	6.82278
104.41757	6.52983
111.61628	6.82804
112.03542	6.74804
112.5314	6.82705
111.61552	7.56007
112.44783	7.69997
112.03749	7.72047
111.15794	7.68875
111.16154	6.75414
120.89779	8.65342
122.3697	8.7783
121.48043	8.53644
120.46378	8.47904
120.81734	8.37176
121.48016	8.29408
122.193	8.45254
120.53652	8.17662
122.06078	8.20798
123.29022	8.4277
123.12119	8.49594
122.9039	8.68716
123.71448	8.55474
123.79943	8.64629
118.49559	8.58063
118.77164	8.62039
119.22155	8.57418
119.81694	8.32625
120.53634	6.16216
122.39752	8.13548
120.03401	8.06373
120.4576	7.90481
