Titration: 7
kd = 19.92 uM
percent bound at final point = 86.9

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.154398
       0.499401       0.314120       0.279144
       0.749120       0.435118       0.427830
       0.998804       0.531967       0.538366
       1.498221       0.666188       0.679676
       1.997642       0.747191       0.757106
       2.996437       0.832487       0.834569
       3.995279       0.874519       0.868784
