Titration: 26
kd = 19.92 uM
percent bound at final point = 83.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.124523
       0.499401       0.314120       0.352583
       0.749120       0.435118       0.437726
       0.998804       0.531967       0.539069
       1.498221       0.666188       0.656222
       1.997642       0.747191       0.790271
       2.996437       0.832487       0.833202
       3.995279       0.874519       0.833640
