Titration: 35
kd = 19.92 uM
percent bound at final point = 87.2

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.150617
       0.499401       0.314120       0.318753
       0.749120       0.435118       0.419631
       0.998804       0.531967       0.521764
       1.498221       0.666188       0.671671
       1.997642       0.747191       0.754477
       2.996437       0.832487       0.840746
       3.995279       0.874519       0.871928
