Titration: 56
kd = 19.92 uM
percent bound at final point = 89.2

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.141396
       0.499401       0.314120       0.266696
       0.749120       0.435118       0.415114
       0.998804       0.531967       0.490452
       1.498221       0.666188       0.695390
       1.997642       0.747191       0.739585
       2.996437       0.832487       0.857866
       3.995279       0.874519       0.892056
