Titration: 52
kd = 19.92 uM
percent bound at final point = 90.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.185884
       0.499401       0.314120       0.269247
       0.749120       0.435118       0.406288
       0.998804       0.531967       0.524967
       1.498221       0.666188       0.652303
       1.997642       0.747191       0.739144
       2.996437       0.832487       0.852871
       3.995279       0.874519       0.903922
