Titration: 72
kd = 19.92 uM
percent bound at final point = 87.3

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.217224
       0.499401       0.314120       0.186223
       0.749120       0.435118       0.402522
       0.998804       0.531967       0.466398
       1.498221       0.666188       0.684557
       1.997642       0.747191       0.748860
       2.996437       0.832487       0.915662
       3.995279       0.874519       0.872565
