Titration: 73
kd = 19.92 uM
percent bound at final point = 77.6

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.119004
       0.499401       0.314120       0.390976
       0.749120       0.435118       0.300393
       0.998804       0.531967       0.430862
       1.498221       0.666188       0.734370
       1.997642       0.747191       0.981500
       2.996437       0.832487       0.786798
       3.995279       0.874519       0.776321
