Titration: 68
kd = 19.92 uM
percent bound at final point = 85.7

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.129640
       0.499401       0.314120       0.343002
       0.749120       0.435118       0.455991
       0.998804       0.531967       0.527650
       1.498221       0.666188       0.660822
       1.997642       0.747191       0.769863
       2.996437       0.832487       0.823884
       3.995279       0.874519       0.856757
