Titration: 20
kd = 19.92 uM
percent bound at final point = 86.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.242709
       0.499401       0.314120       0.240473
       0.749120       0.435118       0.624303
       0.998804       0.531967       0.405714
       1.498221       0.666188       0.638582
       1.997642       0.747191       0.665264
       2.996437       0.832487       0.934126
       3.995279       0.874519       0.863607
