Titration: 18
kd = 19.92 uM
percent bound at final point = 86.6

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.158135
       0.499401       0.314120       0.301455
       0.749120       0.435118       0.427752
       0.998804       0.531967       0.532475
       1.498221       0.666188       0.674871
       1.997642       0.747191       0.751172
       2.996437       0.832487       0.841068
       3.995279       0.874519       0.866217
