Titration: 9
kd = 19.92 uM
percent bound at final point = 90.8

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.286883
       0.499401       0.314120       0.194199
       0.749120       0.435118       0.408527
       0.998804       0.531967       0.563093
       1.498221       0.666188       0.697853
       1.997642       0.747191       0.721751
       2.996437       0.832487       0.810005
       3.995279       0.874519       0.908091
