Titration: 47
kd = 19.92 uM
percent bound at final point = 90.8

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.241976
       0.499401       0.314120       0.259434
       0.749120       0.435118       0.381170
       0.998804       0.531967       0.522839
       1.498221       0.666188       0.719460
       1.997642       0.747191       0.694106
       2.996437       0.832487       0.841970
       3.995279       0.874519       0.908136
