Titration: 12
kd = 19.92 uM
percent bound at final point = 84.3

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.151169
       0.499401       0.314120       0.350293
       0.749120       0.435118       0.455349
       0.998804       0.531967       0.538635
       1.498221       0.666188       0.645465
       1.997642       0.747191       0.776014
       2.996437       0.832487       0.831624
       3.995279       0.874519       0.842705
