Titration: 69
kd = 19.92 uM
percent bound at final point = 61.7

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.090892
       0.499401       0.314120       0.333344
       0.749120       0.435118       0.423158
       0.998804       0.531967       0.474242
       1.498221       0.666188       0.781379
       1.997642       0.747191       0.963691
       2.996437       0.832487       0.868564
       3.995279       0.874519       0.616534
