Titration: 29
kd = 19.92 uM
percent bound at final point = 81.6

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.094808
       0.499401       0.314120       0.438483
       0.749120       0.435118       0.496368
       0.998804       0.531967       0.555219
       1.498221       0.666188       0.651597
       1.997642       0.747191       0.783374
       2.996437       0.832487       0.794200
       3.995279       0.874519       0.816048
