Titration: 57
kd = 19.92 uM
percent bound at final point = 88.3

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.192245
       0.499401       0.314120       0.248601
       0.749120       0.435118       0.418216
       0.998804       0.531967       0.531476
       1.498221       0.666188       0.676254
       1.997642       0.747191       0.735454
       2.996437       0.832487       0.855148
       3.995279       0.874519       0.882958
