Titration: 59
kd = 19.92 uM
percent bound at final point = 84.2

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.113599
       0.499401       0.314120       0.368119
       0.749120       0.435118       0.453487
       0.998804       0.531967       0.520295
       1.498221       0.666188       0.652359
       1.997642       0.747191       0.811555
       2.996437       0.832487       0.808533
       3.995279       0.874519       0.841982
