Titration: 42
kd = 19.92 uM
percent bound at final point = 90.9

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.182174
       0.499401       0.314120       0.293595
       0.749120       0.435118       0.404338
       0.998804       0.531967       0.513788
       1.498221       0.666188       0.681279
       1.997642       0.747191       0.742700
       2.996437       0.832487       0.821371
       3.995279       0.874519       0.908536
