Titration: 27
kd = 19.92 uM
percent bound at final point = 86.9

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168402       0.160173
       0.499401       0.314120       0.286290
       0.749120       0.435118       0.456231
       0.998804       0.531967       0.523451
       1.498221       0.666188       0.673047
       1.997642       0.747191       0.751552
       2.996437       0.832487       0.835004
       3.995279       0.874519       0.869429
