Titration: 4
kd = 24.79 uM
percent bound at final point = 83.8

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.156790       0.152511
       0.499401       0.291868       0.269334
       0.749120       0.404496       0.377810
       0.998804       0.495906       0.511566
       1.498221       0.626784       0.641993
       1.997642       0.709785       0.718415
       2.996437       0.801953       0.807449
       3.995279       0.849500       0.837976
