Titration: 12
kd = 15.11 uM
percent bound at final point = 88.8

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.181968       0.159289
       0.499401       0.340782       0.369109
       0.749120       0.472347       0.479809
       0.998804       0.575856       0.567568
       1.498221       0.712929       0.680137
       1.997642       0.790059       0.817698
       2.996437       0.865799       0.876295
       3.995279       0.901094       0.887972
