Titration: 37
kd = 19.08 uM
percent bound at final point = 87.5

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.170612       0.181435
       0.499401       0.318410       0.304372
       0.749120       0.441062       0.437674
       0.998804       0.538968       0.533065
       1.498221       0.673737       0.689054
       1.997642       0.754230       0.752372
       2.996437       0.838081       0.840895
       3.995279       0.879036       0.874511
