Titration: 19
kd = 22.84 uM
percent bound at final point = 84.6

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.161213       0.166332
       0.499401       0.300291       0.274546
       0.749120       0.416048       0.411834
       0.998804       0.509511       0.501671
       1.498221       0.641751       0.663431
       1.997642       0.724121       0.726470
       2.996437       0.813812       0.823768
       3.995279       0.859291       0.846416
