Titration: 45
kd = 4.22 uM
percent bound at final point = 97.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.225033       0.151955
       0.499401       0.433808       0.620924
       0.749120       0.612670       0.646218
       0.998804       0.744945       0.689995
       1.498221       0.875845       0.814845
       1.997642       0.923089       0.932949
       2.996437       0.956777       0.952374
       3.995279       0.969633       0.973955
