Titration: 64
kd = 20.56 uM
percent bound at final point = 86.2

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.166757       0.165249
       0.499401       0.310939       0.311114
       0.749120       0.430719       0.401177
       0.998804       0.526786       0.537326
       1.498221       0.660581       0.675316
       1.997642       0.741935       0.740222
       2.996437       0.828277       0.836435
       3.995279       0.871107       0.862095
