Titration: 33
kd = 18.34 uM
percent bound at final point = 87.9

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.172597       0.164542
       0.499401       0.322279       0.308105
       0.749120       0.446438       0.444336
       0.998804       0.545302       0.541050
       1.498221       0.680537       0.692934
       1.997642       0.760533       0.768631
       2.996437       0.843051       0.841399
       3.995279       0.883029       0.878514
