Titration: 24
kd = 19.92 uM
percent bound at final point = 86.7

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168401       0.164369
       0.499401       0.314119       0.292838
       0.749120       0.435116       0.435433
       0.998804       0.531964       0.530983
       1.498221       0.666186       0.680227
       1.997642       0.747189       0.746796
       2.996437       0.832485       0.839212
       3.995279       0.874517       0.866611
