Titration: 5
kd = 23.09 uM
percent bound at final point = 86.0

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.160641       0.168701
       0.499401       0.299198       0.292748
       0.749120       0.414547       0.418674
       0.998804       0.507743       0.486775
       1.498221       0.639812       0.652470
       1.997642       0.722273       0.735767
       2.996437       0.812294       0.800013
       3.995279       0.858043       0.860025
