Titration: 55
kd = 21.53 uM
percent bound at final point = 86.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.164356       0.154570
       0.499401       0.306315       0.296445
       0.749120       0.424339       0.422886
       0.998804       0.519273       0.518494
       1.498221       0.652415       0.663364
       1.997642       0.734242       0.736028
       2.996437       0.822067       0.820318
       3.995279       0.866052       0.864476
