Titration: 30
kd = 21.36 uM
percent bound at final point = 85.3

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.164778       0.181805
       0.499401       0.307127       0.276584
       0.749120       0.425457       0.413121
       0.998804       0.520590       0.512349
       1.498221       0.653850       0.688801
       1.997642       0.735596       0.728608
       2.996437       0.823165       0.836306
       3.995279       0.866947       0.852625
