Titration: 62
kd = 15.28 uM
percent bound at final point = 86.5

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.181425       0.171178
       0.499401       0.339698       0.344704
       0.749120       0.470819       0.482576
       0.998804       0.574052       0.568037
       1.498221       0.711037       0.677498
       1.997642       0.788357       0.811489
       2.996437       0.864512       0.905678
       3.995279       0.900082       0.864639
