Titration: 25
kd = 18.59 uM
percent bound at final point = 88.1

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.171917       0.141948
       0.499401       0.320951       0.344280
       0.749120       0.444591       0.447847
       0.998804       0.543126       0.535595
       1.498221       0.678205       0.682097
       1.997642       0.758375       0.750919
       2.996437       0.841354       0.845557
       3.995279       0.881667       0.881423
