Titration: 44
kd = 21.36 uM
percent bound at final point = 88.9

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.164761       0.138860
       0.499401       0.307094       0.341359
       0.749120       0.425412       0.406888
       0.998804       0.520537       0.519653
       1.498221       0.653792       0.650461
       1.997642       0.735542       0.761670
       2.996437       0.823121       0.782036
       3.995279       0.866911       0.888671
