Titration: 67
kd = 21.89 uM
percent bound at final point = 85.4

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.163482       0.153770
       0.499401       0.304637       0.293814
       0.749120       0.422026       0.416330
       0.998804       0.516550       0.511956
       1.498221       0.649447       0.663448
       1.997642       0.731433       0.736511
       2.996437       0.819786       0.826177
       3.995279       0.864188       0.854486
