Titration: 43
kd = 17.09 uM
percent bound at final point = 87.8

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.176096       0.145590
       0.499401       0.329140       0.341611
       0.749120       0.456004       0.446841
       0.998804       0.556576       0.544645
       1.498221       0.692571       0.698879
       1.997642       0.771600       0.791794
       2.996437       0.851680       0.854391
       3.995279       0.889924       0.878492
