Titration: 23
kd = 28.43 uM
percent bound at final point = 80.7

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.149213       0.201235
       0.499401       0.277567       0.215611
       0.749120       0.384966       0.352184
       0.998804       0.472898       0.472983
       1.498221       0.601207       0.617869
       1.997642       0.684941       0.724593
       2.996437       0.780947       0.788075
       3.995279       0.831931       0.807015
