Titration: 18
kd = 20.31 uM
percent bound at final point = 86.3

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.167392       0.157497
       0.499401       0.312165       0.300239
       0.749120       0.432413       0.426027
       0.998804       0.528782       0.530327
       1.498221       0.662743       0.672149
       1.997642       0.743965       0.748142
       2.996437       0.829906       0.837676
       3.995279       0.872429       0.862723
