Titration: 59
kd = 14.61 uM
percent bound at final point = 89.2

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.183532       0.120401
       0.499401       0.343913       0.390159
       0.749120       0.476769       0.480638
       0.998804       0.581079       0.551447
       1.498221       0.718395       0.691418
       1.997642       0.794956       0.860146
       2.996437       0.869486       0.856943
       3.995279       0.903989       0.892394
