Titration: 27
kd = 19.86 uM
percent bound at final point = 87.0

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.168543       0.160263
       0.499401       0.314393       0.286451
       0.749120       0.435496       0.456488
       0.998804       0.532412       0.523745
       1.498221       0.666669       0.673425
       1.997642       0.747641       0.751975
       2.996437       0.832845       0.835473
       3.995279       0.874809       0.869918
