Titration: 49
kd = 20.35 uM
percent bound at final point = 88.0

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.167299       0.211822
       0.499401       0.311986       0.349591
       0.749120       0.432165       0.422335
       0.998804       0.528489       0.502137
       1.498221       0.662426       0.678196
       1.997642       0.743668       0.719964
       2.996437       0.829668       0.828434
       3.995279       0.872235       0.880490
