Titration: 58
kd = 16.81 uM
percent bound at final point = 85.7

Presentation fit:
   ligand ratio    model point      exp point
       0.000000       0.000000       0.000000
       0.249703       0.176883       0.118718
       0.499401       0.330690       0.416466
       0.749120       0.458171       0.421725
       0.998804       0.559131       0.508870
       1.498221       0.695285       0.714065
       1.997642       0.774080       0.803849
       2.996437       0.853597       0.878980
       3.995279       0.891449       0.856626
